file,rate,total_requests,concurrent_connections,request_rate,reply_rate_avg,reply_rate_stdev,reply_samples,total_size,200_statuses,net_io
test_freq_18_per_day_synckit.txt,459,11908,208,538.5,541.5,2.9,4,15363.0,11908,8171.0 KB/s
test_freq_18_per_day_synckit.txt,489,11908,419,507.8,572.9,23.3,4,15363.0,11908,7705.6 KB/s
test_freq_18_per_day_synckit.txt,504,11908,557,474.8,476.3,247.0,5,15363.0,11908,7204.2 KB/s
test_freq_18_per_day_synckit.txt,496,11908,425,505.7,573.8,13.7,4,15363.0,11908,7674.0 KB/s
test_freq_18_per_day_synckit.txt,500,11908,491,372.8,396.9,280.2,6,15363.0,11908,5656.8 KB/s
test_freq_18_per_day_synckit.txt,498,11908,532,461.8,474.8,203.6,5,15363.0,11908,7007.5 KB/s
test_freq_0.5_per_day_synckit.txt,520,7223,1020,231.8,237.1,118.9,6,43881.0,6822,9852.3 KB/s
test_freq_0.5_per_day_synckit.txt,279,12065,1020,201.6,218.1,129.9,11,45843.0,12020,9052.0 KB/s
test_freq_0.5_per_day_synckit.txt,159,13060,24,207.4,208.2,7.4,12,46144.0,13060,9378.8 KB/s
test_freq_0.5_per_day_synckit.txt,219,13060,164,285.8,286.5,11.1,9,46144.0,13060,12927.1 KB/s
test_freq_0.5_per_day_synckit.txt,249,13060,709,204.0,217.5,134.9,12,46144.0,13060,9224.8 KB/s
test_freq_0.5_per_day_synckit.txt,234,13060,145,304.2,304.1,9.2,8,46144.0,13060,13755.2 KB/s
test_freq_0.5_per_day_synckit.txt,241,13060,283,245.0,261.2,104.3,10,46144.0,13060,11081.2 KB/s
test_freq_0.5_per_day_synckit.txt,245,13060,594,202.7,217.4,134.0,12,46144.0,13060,9166.5 KB/s
test_freq_0.5_per_day_synckit.txt,243,13060,353,250.3,261.1,104.9,10,46144.0,13060,11319.4 KB/s
test_freq_18_per_day_tokyo.txt,520,5391,1020,165.5,175.9,86.3,6,63566.0,4894,10117.3 KB/s
test_freq_18_per_day_tokyo.txt,279,8492,1020,142.4,153.1,81.9,11,68967.0,8492,9608.9 KB/s
test_freq_18_per_day_tokyo.txt,159,11908,87,189.2,188.8,8.9,12,68912.0,11908,12759.9 KB/s
test_freq_18_per_day_tokyo.txt,219,10531,1020,151.2,161.2,77.8,13,68925.0,10531,10196.1 KB/s
test_freq_18_per_day_tokyo.txt,189,11908,820,154.9,158.7,84.9,15,68912.0,11908,10445.1 KB/s
test_freq_18_per_day_tokyo.txt,174,11908,74,206.4,206.1,5.9,11,68912.0,11908,13921.2 KB/s
test_freq_18_per_day_tokyo.txt,181,11908,410,150.4,158.8,85.7,15,68912.0,11908,10140.4 KB/s
test_freq_18_per_day_tokyo.txt,177,11908,205,183.7,198.3,27.6,12,68912.0,11908,12390.1 KB/s
test_freq_18_per_day_tokyo.txt,179,11908,313,151.1,158.8,85.6,15,68912.0,11908,10189.6 KB/s
test_freq_12_per_day_tokyo.txt,520,5511,1020,165.1,182.1,82.7,6,63024.0,5203,10146.3 KB/s
