test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
GID,Blog,Auto,6,2178,46,1436,85,1,1,2010-05-18 20:41:38.273669-04
GID,Blog,Auto,7,2842,63,1769,84,1,1,2010-05-18 20:41:42.075536-04
GID,Blog,Auto,8,1991,64,1154,82,1,1,2010-05-18 20:41:45.015994-04
GID,Blog,Auto,10,1957,50,1220,50,1,1,2010-05-18 20:41:50.952795-04
GID,Blog,Auto,5,2210,159,1309,98,1,1,2010-05-18 20:42:48.071107-04
GID,Blog,Auto,6,2389,57,1371,99,1,1,2010-05-18 20:42:51.464555-04
GID,Blog,Auto,21,2049,51,1282,94,1,1,2010-05-18 20:43:39.243737-04
GID,Blog,Auto,22,1928,51,1180,95,1,1,2010-05-18 20:43:42.210531-04
GID,Blog,Auto,16,1896,47,1160,86,1,1,2010-05-18 20:37:18.077735-04
GID,Blog,Auto,17,2007,49,1191,92,1,1,2010-05-18 20:37:21.073481-04
GID,Blog,Auto,18,3232,102,2172,93,1,1,2010-05-18 20:37:25.341697-04
GID,Blog,Auto,19,3129,101,1906,111,1,1,2010-05-18 20:37:29.424921-04
GID,Blog,Auto,20,3304,206,2095,116,1,1,2010-05-18 20:37:33.718264-04
GID,Blog,Auto,21,3325,106,2186,65,1,1,2010-05-18 20:37:38.089553-04
GID,Blog,Auto,22,2948,60,2021,97,1,1,2010-05-18 20:37:41.965895-04
GID,Blog,Auto,20,4128,215,2437,92,1,1,2010-05-18 20:39:01.158707-04
GID,Blog,Auto,21,4322,204,2655,103,1,1,2010-05-18 20:39:06.388081-04
GID,Blog,Auto,13,1974,48,1182,85,1,1,2010-05-18 20:40:19.993815-04
GID,Blog,Auto,14,1753,49,1076,86,1,1,2010-05-18 20:40:22.788553-04
GID,Blog,Auto,22,2465,49,1671,93,1,1,2010-05-18 20:40:47.87175-04
GID,Blog,Auto,13,2257,54,1415,84,1,1,2010-05-18 20:42:01.311604-04
GID,Blog,Auto,14,2267,49,1503,84,1,1,2010-05-18 20:42:04.763021-04
GID,Blog,Auto,15,2166,49,1343,87,1,1,2010-05-18 20:42:07.943497-04
GID,Blog,Auto,16,2196,60,1356,89,1,1,2010-05-18 20:42:11.132179-04
GID,Blog,Auto,17,2117,50,1352,93,1,1,2010-05-18 20:42:14.257366-04
GID,Blog,Auto,18,2124,49,1313,91,1,1,2010-05-18 20:42:17.393194-04
GID,Blog,Auto,19,2041,49,1283,89,1,1,2010-05-18 20:42:20.425301-04
GID,Blog,Auto,20,1927,49,1230,52,1,1,2010-05-18 20:42:23.348672-04
GID,Blog,Auto,21,2173,62,1403,126,1,1,2010-05-18 20:42:26.644944-04
GID,Blog,Auto,22,2259,52,1445,97,1,1,2010-05-18 20:42:29.868359-04
GID,Blog,Auto,25,2140,48,1325,91,1,1,2010-05-18 20:37:53.384881-04
GID,Blog,Auto,2,2443,85,1478,106,1,1,2010-05-18 20:38:00.568826-04
GID,Blog,Auto,4,2956,89,1973,101,1,1,2010-05-18 20:38:08.062171-04
GID,Blog,Auto,7,2136,52,1305,98,1,1,2010-05-18 20:38:17.536967-04
GID,Blog,Auto,16,1872,48,1161,93,1,1,2010-05-18 20:40:28.324709-04
GID,Blog,Auto,17,1900,50,1182,92,1,1,2010-05-18 20:40:31.213207-04
GID,Blog,Auto,9,1957,47,1115,88,1,1,2010-05-18 20:41:47.965526-04
GID,Blog,Auto,4,2044,52,1291,97,1,1,2010-05-18 20:42:44.910043-04
GID,Blog,Auto,24,1824,53,1112,93,1,1,2010-05-18 20:43:47.797464-04
GID,Blog,Auto,27,2130,52,1326,92,1,1,2010-05-18 20:43:57.333239-04
GID,Blog,Auto,4,1812,90,1090,96,1,1,2010-05-18 20:44:11.670119-04
GID,Blog,Auto,7,1946,50,1178,97,1,1,2010-05-18 20:44:20.547345-04
GID,Blog,Auto,8,2109,51,1354,95,1,1,2010-05-18 20:44:23.683117-04
GID,Blog,Auto,13,1679,50,1004,90,1,1,2010-05-18 20:44:37.379993-04
GID,Blog,Auto,15,1774,53,1045,91,1,1,2010-05-18 20:44:42.877753-04
GID,Blog,Auto,16,1882,49,1196,91,1,1,2010-05-18 20:44:45.73123-04
GID,Blog,Auto,7,2121,52,1357,96,1,1,2010-05-18 20:45:49.449978-04
GID,Blog,Auto,8,2031,52,1230,97,1,1,2010-05-18 20:45:52.499771-04
GID,Blog,Auto,11,1947,50,1203,89,1,1,2010-05-18 20:46:01.709292-04
GID,Blog,Auto,13,2055,48,1317,47,1,1,2010-05-18 20:46:07.980463-04
GID,Blog,Auto,20,2089,50,1304,91,1,1,2010-05-18 20:46:28.745165-04
GID,Blog,Auto,21,1990,49,1238,82,1,1,2010-05-18 20:46:31.713877-04
GID,Blog,Auto,19,2084,78,1088,83,1,1,2010-05-18 20:40:38.329385-04
GID,Blog,Auto,20,1986,48,1294,49,1,1,2010-05-18 20:40:41.282527-04
GID,Blog,Auto,21,2105,47,1307,86,1,1,2010-05-18 20:40:44.430366-04
GID,Blog,Auto,26,2046,48,1250,93,1,1,2010-05-18 20:41:00.548242-04
GID,Blog,Auto,27,2173,50,1379,95,1,1,2010-05-18 20:41:03.750282-04
GID,Blog,Auto,28,2163,51,1347,94,1,1,2010-05-18 20:41:06.926228-04
GID,Blog,Auto,30,1882,49,1122,89,1,1,2010-05-18 20:41:12.738873-04
GID,Blog,Auto,12,2763,84,1702,93,1,1,2010-05-18 20:41:57.962949-04
GID,Blog,Auto,20,1954,48,1216,88,1,1,2010-05-18 20:43:36.259194-04
GID,Blog,Auto,23,1846,53,1119,94,1,1,2010-05-18 20:43:45.028585-04
GID,Blog,Auto,1,1613,51,971,92,1,1,2010-05-18 20:44:03.093707-04
GID,Blog,Auto,9,2056,51,1304,98,1,1,2010-05-18 20:44:26.734234-04
GID,Blog,Auto,10,1754,47,1009,82,1,1,2010-05-18 20:44:29.445099-04
GID,Blog,Auto,18,2049,50,1216,90,1,1,2010-05-18 20:44:51.66378-04
GID,Blog,Auto,19,2068,50,1353,92,1,1,2010-05-18 20:44:54.758377-04
GID,Blog,Auto,25,1773,54,1085,92,1,1,2010-05-18 20:45:11.039314-04
GID,Blog,Auto,26,1792,50,1089,92,1,1,2010-05-18 20:45:13.827276-04
GID,Blog,Auto,27,1673,49,1000,89,1,1,2010-05-18 20:45:16.488486-04
GID,Blog,Auto,28,1962,54,1182,93,1,1,2010-05-18 20:45:19.411065-04
GID,Blog,Auto,29,1937,51,1183,95,1,1,2010-05-18 20:45:22.313131-04
GID,Blog,Auto,30,2014,49,1253,83,1,1,2010-05-18 20:45:25.347202-04
GID,Blog,Auto,31,1820,51,1115,83,1,1,2010-05-18 20:45:28.131073-04
GID,Blog,Auto,23,2166,46,1385,87,1,1,2010-05-18 20:42:32.901063-04
GID,Blog,Auto,1,1858,51,1146,95,1,1,2010-05-18 20:42:35.986363-04
GID,Blog,Auto,2,1925,54,1188,95,1,1,2010-05-18 20:42:38.986629-04
GID,Blog,Auto,7,1950,48,1217,50,1,1,2010-05-18 20:42:54.442722-04
GID,Blog,Auto,8,2061,49,1325,84,1,1,2010-05-18 20:42:57.457999-04
GID,Blog,Auto,25,2131,85,1357,98,1,1,2010-05-18 20:43:50.892475-04
GID,Blog,Auto,26,2352,81,1466,94,1,1,2010-05-18 20:43:54.221755-04
GID,Blog,Auto,17,1953,49,1193,92,1,1,2010-05-18 20:44:48.661496-04
GID,Blog,Auto,20,1950,52,1216,91,1,1,2010-05-18 20:44:57.706022-04
GID,Blog,Auto,2,2129,50,1317,53,1,1,2010-05-18 20:45:34.765085-04
GID,Blog,Auto,6,2091,49,1278,88,1,1,2010-05-18 20:47:11.436369-04
GID,Blog,Auto,8,1694,48,1053,46,1,1,2010-05-18 20:47:17.060426-04
GID,Blog,Auto,12,1854,53,1170,89,1,1,2010-05-18 20:47:28.038011-04
