test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Feb 2,Blog,Sync Kit,2,251,131,16,14,1,1,2010-02-01 21:19:03.523189-05
Feb 2,Blog,Sync Kit,1,245,126,16,15,1,1,2010-02-01 21:19:05.711031-05
Feb 2,Blog,Sync Kit,2,318,196,16,15,1,1,2010-02-01 21:19:09.132411-05
Feb 2,Blog,Sync Kit,1,260,144,17,15,1,1,2010-02-01 21:06:06.138282-05
Feb 2,Blog,Sync Kit,2,261,146,16,14,1,1,2010-02-01 21:06:07.25652-05
Feb 2,Blog,Sync Kit,4,226,113,16,14,1,1,2010-02-01 21:06:09.385701-05
Feb 2,Blog,Sync Kit,2,260,142,16,15,1,1,2010-02-01 21:06:13.871915-05
Feb 2,Blog,Sync Kit,3,196,83,15,13,1,1,2010-02-01 21:06:14.925865-05
Feb 2,Blog,Sync Kit,1,216,101,15,14,1,1,2010-02-01 21:06:25.848931-05
Feb 2,Blog,Sync Kit,5,227,113,15,14,1,1,2010-02-01 21:06:50.125677-05
Feb 2,Blog,Sync Kit,5,231,117,16,13,1,1,2010-02-01 21:06:56.62155-05
Feb 2,Blog,Sync Kit,1,235,115,15,14,1,1,2010-02-01 21:19:15.794084-05
Feb 2,Blog,Sync Kit,2,251,128,15,15,1,1,2010-02-01 21:18:51.242991-05
Feb 2,Blog,Sync Kit,1,260,141,16,15,1,1,2010-02-01 21:18:53.471261-05
Feb 2,Blog,Sync Kit,1,260,140,16,15,1,1,2010-02-01 21:19:00.085901-05
Feb 2,Blog,Sync Kit,2,256,133,16,14,1,1,2010-02-01 21:19:01.204626-05
Feb 2,Blog,Sync Kit,1,266,145,16,16,1,1,2010-02-01 21:19:10.260368-05
Feb 2,Blog,Sync Kit,1,262,141,16,15,1,1,2010-02-01 21:18:47.891021-05
Feb 2,Blog,Sync Kit,2,246,126,15,15,1,1,2010-02-01 21:18:49.000584-05
Feb 2,Blog,Sync Kit,1,260,141,16,15,1,1,2010-02-01 21:18:50.126171-05
Feb 2,Blog,Sync Kit,1,218,99,15,14,1,1,2010-02-01 21:18:55.688593-05
Feb 2,Blog,Sync Kit,1,244,125,16,14,1,1,2010-02-01 21:18:56.807216-05
Feb 2,Blog,Sync Kit,1,219,101,14,14,1,1,2010-02-01 21:18:58.969908-05
Feb 2,Blog,Sync Kit,1,254,132,16,14,1,1,2010-02-01 21:19:06.83053-05
Feb 2,Blog,Sync Kit,2,264,143,16,14,1,1,2010-02-01 21:19:14.697767-05
Feb 2,Blog,Sync Kit,2,249,128,16,14,1,1,2010-02-01 21:18:46.766104-05
Feb 2,Blog,Sync Kit,1,230,113,14,14,1,1,2010-02-01 21:18:52.332822-05
Feb 2,Blog,Sync Kit,1,218,97,15,13,1,1,2010-02-01 21:19:04.603858-05
Feb 2,Blog,Sync Kit,1,217,101,14,14,1,1,2010-02-01 21:19:16.873414-05
Feb 2,Blog,Sync Kit,2,250,130,16,14,1,1,2010-02-01 21:17:39.967605-05
Feb 2,Blog,Sync Kit,1,217,101,14,14,1,1,2010-02-01 21:17:58.883442-05
Feb 2,Blog,Sync Kit,1,258,140,16,14,1,1,2010-02-01 21:18:03.357258-05
Feb 2,Blog,Sync Kit,2,251,128,16,14,1,1,2010-02-01 21:18:04.504326-05
