test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Wiki,Sync Kit,8,256,0,0,11,1,1,2010-02-07 11:48:47.645348-05
Test,Wiki,Sync Kit,14,384,47,2,12,1,1,2010-02-07 11:48:13.850277-05
Test,Wiki,Sync Kit,6,392,46,2,11,1,1,2010-02-07 11:48:36.885037-05
Test,Wiki,Sync Kit,6,349,46,2,11,1,1,2010-02-07 11:48:40.618781-05
Test,Wiki,Sync Kit,11,361,48,1,12,1,1,2010-02-07 11:49:24.402831-05
Test,Wiki,Sync Kit,9,311,48,2,12,1,1,2010-02-07 11:51:20.563957-05
Test,Wiki,Sync Kit,17,368,46,2,11,1,1,2010-02-07 11:51:41.692359-05
Test,Wiki,Sync Kit,3,376,49,2,11,1,1,2010-02-07 11:51:49.630398-05
Test,Wiki,Sync Kit,5,348,47,1,12,1,1,2010-02-07 11:51:54.51949-05
Test,Wiki,Sync Kit,6,282,47,1,11,1,1,2010-02-07 11:52:00.489549-05
Test,Wiki,Sync Kit,7,428,49,1,12,1,1,2010-02-07 11:52:01.843468-05
Test,Wiki,Sync Kit,8,308,65,3,15,1,1,2010-02-07 11:52:02.997428-05
Test,Wiki,Sync Kit,9,328,48,2,11,1,1,2010-02-07 11:52:04.289787-05
Test,Wiki,Sync Kit,9,390,49,2,11,1,1,2010-02-07 11:52:05.535491-05
Test,Wiki,Sync Kit,10,344,46,2,11,1,1,2010-02-07 11:52:06.810027-05
Test,Wiki,Sync Kit,16,307,49,1,12,1,1,2010-02-07 11:52:25.355778-05
Test,Wiki,Sync Kit,16,286,0,0,10,1,1,2010-02-07 11:52:26.590951-05
Test,Wiki,Sync Kit,9,367,48,2,11,1,1,2010-02-07 11:48:48.886511-05
Test,Wiki,Sync Kit,9,308,0,0,11,1,1,2010-02-07 11:48:50.067402-05
Test,Wiki,Sync Kit,10,410,47,2,12,1,1,2010-02-07 11:48:53.895748-05
Test,Wiki,Sync Kit,11,373,46,2,12,1,1,2010-02-07 11:48:55.105782-05
Test,Wiki,Sync Kit,12,399,45,2,11,1,1,2010-02-07 11:48:56.447634-05
Test,Wiki,Sync Kit,1,576,46,73,11,1,1,2010-02-07 11:49:01.752079-05
Test,Wiki,Sync Kit,3,345,46,2,11,1,1,2010-02-07 11:49:05.714995-05
Test,Wiki,Sync Kit,15,340,48,2,12,1,1,2010-02-07 11:49:29.424533-05
Test,Wiki,Sync Kit,1,898,222,87,12,1,1,2010-02-07 11:49:34.093989-05
Test,Wiki,Sync Kit,2,301,47,1,12,1,1,2010-02-07 11:49:35.231862-05
Test,Wiki,Sync Kit,3,316,46,2,11,1,1,2010-02-07 11:49:36.576341-05
Test,Wiki,Sync Kit,8,413,87,1,12,1,1,2010-02-07 11:49:44.172708-05
Test,Wiki,Sync Kit,11,368,47,2,12,1,1,2010-02-07 11:49:51.687812-05
Test,Wiki,Sync Kit,14,348,48,1,12,1,1,2010-02-07 11:50:07.818213-05
Test,Wiki,Sync Kit,15,362,50,2,12,1,1,2010-02-07 11:50:09.022214-05
Test,Wiki,Sync Kit,15,317,0,0,11,1,1,2010-02-07 11:50:10.300758-05
Test,Wiki,Sync Kit,15,361,48,1,12,1,1,2010-02-07 11:50:11.540774-05
Test,Wiki,Sync Kit,6,360,46,2,11,1,1,2010-02-07 11:49:11.825197-05
Test,Wiki,Sync Kit,6,348,46,1,11,1,1,2010-02-07 11:49:13.124101-05
Test,Wiki,Sync Kit,6,343,48,1,12,1,1,2010-02-07 11:49:14.304956-05
Test,Wiki,Sync Kit,8,351,46,1,12,1,1,2010-02-07 11:49:16.823609-05
Test,Wiki,Sync Kit,10,338,47,1,12,1,1,2010-02-07 11:49:19.31335-05
Test,Wiki,Sync Kit,13,339,47,1,12,1,1,2010-02-07 11:49:26.889969-05
Test,Wiki,Sync Kit,15,354,46,2,11,1,1,2010-02-07 11:49:30.721653-05
Test,Wiki,Sync Kit,15,351,47,2,11,1,1,2010-02-07 11:49:31.924685-05
Test,Wiki,Sync Kit,6,346,47,1,12,1,1,2010-02-07 11:49:41.554137-05
Test,Wiki,Sync Kit,10,380,47,2,11,1,1,2010-02-07 11:49:47.95297-05
Test,Wiki,Sync Kit,11,366,47,2,11,1,1,2010-02-07 11:49:49.164504-05
Test,Wiki,Sync Kit,11,354,45,2,11,1,1,2010-02-07 11:49:50.47345-05
Test,Wiki,Sync Kit,12,390,47,2,11,1,1,2010-02-07 11:49:53.029945-05
Test,Wiki,Sync Kit,12,417,102,2,12,1,1,2010-02-07 11:49:54.297325-05
Test,Wiki,Sync Kit,12,406,50,2,12,1,1,2010-02-07 11:49:55.645812-05
Test,Wiki,Sync Kit,12,307,0,0,11,1,1,2010-02-07 11:49:56.79138-05
Test,Wiki,Sync Kit,10,355,46,1,12,1,1,2010-02-07 11:49:20.613709-05
Test,Wiki,Sync Kit,11,379,47,2,12,1,1,2010-02-07 11:49:21.8467-05
Test,Wiki,Sync Kit,11,384,46,2,11,1,1,2010-02-07 11:49:23.20073-05
Test,Wiki,Sync Kit,12,368,47,2,11,1,1,2010-02-07 11:49:25.701063-05
Test,Wiki,Sync Kit,14,377,48,1,12,1,1,2010-02-07 11:49:28.235547-05
Test,Wiki,Sync Kit,3,337,47,2,12,1,1,2010-02-07 11:49:37.86661-05
Test,Wiki,Sync Kit,4,312,48,1,11,1,1,2010-02-07 11:49:39.012648-05
Test,Wiki,Sync Kit,5,356,45,2,11,1,1,2010-02-07 11:49:40.363103-05
Test,Wiki,Sync Kit,7,391,47,2,11,1,1,2010-02-07 11:49:42.899173-05
Test,Wiki,Sync Kit,9,370,48,1,12,1,1,2010-02-07 11:49:45.454597-05
Test,Wiki,Sync Kit,10,350,46,2,11,1,1,2010-02-07 11:49:46.642032-05
Test,Wiki,Sync Kit,12,314,0,0,11,1,1,2010-02-07 11:49:57.990372-05
Test,Wiki,Sync Kit,12,375,46,2,11,1,1,2010-02-07 11:50:00.439046-05
Test,Wiki,Sync Kit,14,414,47,2,11,1,1,2010-02-07 11:50:03.029135-05
Test,Wiki,Sync Kit,14,282,0,0,11,1,1,2010-02-07 11:50:04.156983-05
Test,Wiki,Sync Kit,17,355,48,2,11,1,1,2010-02-07 11:50:16.528191-05
Test,Wiki,Sync Kit,17,321,0,0,11,1,1,2010-02-07 11:50:17.789489-05
Test,Wiki,Sync Kit,13,369,48,2,12,1,1,2010-02-07 11:50:01.675804-05
Test,Wiki,Sync Kit,14,298,0,0,11,1,1,2010-02-07 11:50:05.333389-05
Test,Wiki,Sync Kit,14,300,47,1,11,1,1,2010-02-07 11:50:06.4962-05
Test,Wiki,Sync Kit,19,250,0,0,11,1,1,2010-02-07 11:50:21.298836-05
Test,Wiki,Sync Kit,19,300,0,0,10,1,1,2010-02-07 11:50:22.497379-05
Test,Wiki,Sync Kit,19,247,0,0,11,1,1,2010-02-07 11:50:23.608791-05
Test,Wiki,Sync Kit,19,284,0,0,11,1,1,2010-02-07 11:50:24.763251-05
Test,Wiki,Sync Kit,20,362,48,2,12,1,1,2010-02-07 11:50:25.986892-05
Test,Wiki,Sync Kit,21,333,47,2,11,1,1,2010-02-07 11:50:27.269788-05
Test,Wiki,Sync Kit,22,338,48,2,11,1,1,2010-02-07 11:50:28.460086-05
Test,Wiki,Sync Kit,3,330,48,1,11,1,1,2010-02-07 11:50:36.703353-05
Test,Wiki,Sync Kit,3,358,48,2,11,1,1,2010-02-07 11:50:39.246415-05
Test,Wiki,Sync Kit,3,371,47,1,12,1,1,2010-02-07 11:50:40.468166-05
Test,Wiki,Sync Kit,3,404,47,2,11,1,1,2010-02-07 11:50:41.800822-05
Test,Wiki,Sync Kit,4,312,47,1,11,1,1,2010-02-07 11:50:42.956342-05
Test,Wiki,Sync Kit,4,370,75,3,19,1,1,2010-02-07 11:50:45.485584-05
Test,Wiki,Sync Kit,4,415,48,1,11,1,1,2010-02-07 11:50:46.868375-05
Test,Wiki,Sync Kit,1,709,54,110,12,1,1,2010-02-07 11:59:43.682537-05
Test,Wiki,Sync Kit,16,305,49,2,11,1,1,2010-02-07 11:50:13.996926-05
Test,Wiki,Sync Kit,16,346,46,2,11,1,1,2010-02-07 11:50:15.315748-05
Test,Wiki,Sync Kit,1,840,188,98,21,1,1,2010-02-07 11:50:30.439311-05
Test,Wiki,Sync Kit,1,362,46,2,11,1,1,2010-02-07 11:50:31.667135-05
Test,Wiki,Sync Kit,4,350,0,0,11,1,1,2010-02-07 11:50:44.228736-05
