test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Wiki,Sync Kit,9,251,0,0,10,1,1,2010-02-10 17:30:03.289989-05
Test,Wiki,Sync Kit,9,333,24,1,12,1,1,2010-02-10 17:30:04.472684-05
Test,Wiki,Sync Kit,10,326,31,1,11,1,1,2010-02-10 17:30:06.900768-05
Test,Wiki,Sync Kit,9,356,22,2,11,1,1,2010-02-10 17:30:31.255595-05
Test,Wiki,Sync Kit,10,368,23,1,12,1,1,2010-02-10 17:30:33.822103-05
Test,Wiki,Sync Kit,11,289,28,2,11,1,1,2010-02-10 17:30:34.93912-05
Test,Wiki,Sync Kit,14,307,22,3,12,1,1,2010-02-10 17:29:27.956834-05
Test,Wiki,Sync Kit,15,320,0,0,10,1,1,2010-02-10 17:29:29.22788-05
Test,Wiki,Sync Kit,16,294,0,0,19,1,1,2010-02-10 17:29:30.374253-05
Test,Wiki,Sync Kit,16,324,21,1,11,1,1,2010-02-10 17:29:31.564391-05
Test,Wiki,Sync Kit,3,279,0,0,11,1,1,2010-02-10 17:29:43.004216-05
Test,Wiki,Sync Kit,6,361,22,2,11,1,1,2010-02-10 17:29:50.406574-05
Test,Wiki,Sync Kit,12,330,22,2,12,1,1,2010-02-10 17:30:09.394153-05
Test,Wiki,Sync Kit,13,244,19,1,12,1,1,2010-02-10 17:30:10.479478-05
Test,Wiki,Sync Kit,14,279,23,1,12,1,1,2010-02-10 17:30:12.914896-05
Test,Wiki,Sync Kit,1,929,141,154,12,1,1,2010-02-10 17:30:15.129774-05
Test,Wiki,Sync Kit,2,342,22,1,11,1,1,2010-02-10 17:30:16.289008-05
Test,Wiki,Sync Kit,6,345,21,2,11,1,1,2010-02-10 17:30:23.811555-05
Test,Wiki,Sync Kit,6,354,30,2,12,1,1,2010-02-10 17:30:26.2868-05
Test,Wiki,Sync Kit,6,315,23,2,11,1,1,2010-02-10 17:30:27.446863-05
Test,Wiki,Sync Kit,7,353,29,1,12,1,1,2010-02-10 17:30:28.786212-05
Test,Wiki,Sync Kit,8,321,21,2,11,1,1,2010-02-10 17:30:29.952813-05
Test,Wiki,Sync Kit,6,367,0,0,10,1,1,2010-02-10 17:46:49.082256-05
Test,Wiki,Sync Kit,3,390,23,1,12,1,1,2010-02-10 17:30:18.902133-05
Test,Wiki,Sync Kit,5,358,23,2,11,1,1,2010-02-10 17:30:22.491723-05
Test,Wiki,Sync Kit,10,394,94,2,12,1,1,2010-02-10 17:30:32.495237-05
Test,Wiki,Sync Kit,15,326,25,2,11,1,1,2010-02-10 17:30:43.668714-05
