test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Wiki,Flying Templates,2,233,21,0,10,1,1,2010-02-09 22:42:20.009665-05
Test,Wiki,Flying Templates,4,304,21,0,10,1,1,2010-02-09 22:42:23.397859-05
Test,Wiki,Flying Templates,5,292,23,0,10,1,1,2010-02-09 22:42:25.621002-05
Test,Wiki,Flying Templates,6,239,21,0,11,1,1,2010-02-09 22:42:28.897796-05
Test,Wiki,Flying Templates,11,231,23,0,10,1,1,2010-02-09 22:42:37.801015-05
Test,Wiki,Flying Templates,12,320,23,0,10,1,1,2010-02-09 22:43:07.794084-05
Test,Wiki,Flying Templates,12,405,154,0,10,1,1,2010-02-09 22:41:30.682576-05
Test,Wiki,Flying Templates,14,306,20,0,10,1,1,2010-02-09 22:41:34.081438-05
Test,Wiki,Flying Templates,14,246,21,0,11,1,1,2010-02-09 22:41:35.172946-05
Test,Wiki,Flying Templates,14,305,22,0,10,1,1,2010-02-09 22:41:36.327768-05
Test,Wiki,Flying Templates,15,229,21,0,10,1,1,2010-02-09 22:41:37.393321-05
Test,Wiki,Flying Templates,16,363,80,0,10,1,1,2010-02-09 22:41:40.819049-05
Test,Wiki,Flying Templates,6,247,21,0,10,1,1,2010-02-09 22:41:55.304091-05
Test,Wiki,Flying Templates,6,312,22,0,10,1,1,2010-02-09 22:41:56.457931-05
Test,Wiki,Flying Templates,6,234,22,0,10,1,1,2010-02-09 22:41:57.525248-05
Test,Wiki,Flying Templates,6,293,21,0,10,1,1,2010-02-09 22:41:58.655871-05
Test,Wiki,Flying Templates,6,258,22,0,10,1,1,2010-02-09 22:41:59.746502-05
Test,Wiki,Flying Templates,9,263,21,0,10,1,1,2010-02-09 22:42:08.745145-05
Test,Wiki,Flying Templates,10,300,21,0,10,1,1,2010-02-09 22:42:12.198699-05
Test,Wiki,Flying Templates,11,264,21,0,11,1,1,2010-02-09 22:42:13.29018-05
Test,Wiki,Flying Templates,12,301,20,0,10,1,1,2010-02-09 22:42:14.420752-05
Test,Wiki,Flying Templates,13,266,23,0,11,1,1,2010-02-09 22:42:15.524316-05
Test,Wiki,Flying Templates,1,328,21,0,9,1,1,2010-02-09 22:42:18.931063-05
Test,Wiki,Flying Templates,3,240,22,0,10,1,1,2010-02-09 22:42:22.264972-05
Test,Wiki,Flying Templates,6,310,21,0,10,1,1,2010-02-09 22:42:30.054831-05
Test,Wiki,Flying Templates,16,300,26,0,10,1,1,2010-02-09 22:41:38.532168-05
Test,Wiki,Flying Templates,16,248,22,0,10,1,1,2010-02-09 22:41:39.616821-05
Test,Wiki,Flying Templates,2,255,20,0,10,1,1,2010-02-09 22:41:44.130464-05
Test,Wiki,Flying Templates,2,302,21,0,11,1,1,2010-02-09 22:41:45.27036-05
Test,Wiki,Flying Templates,2,252,25,0,10,1,1,2010-02-09 22:41:46.357576-05
Test,Wiki,Flying Templates,3,303,75,0,10,1,1,2010-02-09 22:41:50.879327-05
Test,Wiki,Flying Templates,3,302,20,0,10,1,1,2010-02-09 22:41:52.012509-05
Test,Wiki,Flying Templates,4,240,20,0,10,1,1,2010-02-09 22:41:53.079941-05
Test,Wiki,Flying Templates,5,308,25,0,10,1,1,2010-02-09 22:41:54.217374-05
Test,Wiki,Flying Templates,8,239,21,0,10,1,1,2010-02-09 22:42:02.023242-05
Test,Wiki,Flying Templates,8,306,21,0,10,1,1,2010-02-09 22:42:03.156818-05
Test,Wiki,Flying Templates,10,321,86,0,11,1,1,2010-02-09 22:42:11.065169-05
Test,Wiki,Flying Templates,5,249,22,0,11,1,1,2010-02-09 22:42:24.477945-05
Test,Wiki,Flying Templates,11,347,21,0,10,1,1,2010-02-09 22:42:36.731715-05
Test,Wiki,Flying Templates,14,230,21,0,10,1,1,2010-02-09 22:42:42.206638-05
Test,Wiki,Flying Templates,6,230,21,0,11,1,1,2010-02-09 22:42:53.239408-05
Test,Wiki,Flying Templates,7,298,20,0,10,1,1,2010-02-09 22:42:54.382767-05
Test,Wiki,Flying Templates,8,236,26,0,11,1,1,2010-02-09 22:42:55.455251-05
Test,Wiki,Flying Templates,11,307,21,0,10,1,1,2010-02-09 22:43:01.103941-05
Test,Wiki,Flying Templates,7,246,21,0,11,1,1,2010-02-09 22:42:31.131405-05
Test,Wiki,Flying Templates,8,291,21,0,12,1,1,2010-02-09 22:42:32.311765-05
Test,Wiki,Flying Templates,9,221,21,0,10,1,1,2010-02-09 22:42:33.363347-05
Test,Wiki,Flying Templates,10,291,23,0,10,1,1,2010-02-09 22:42:34.486967-05
Test,Wiki,Flying Templates,10,217,21,0,10,1,1,2010-02-09 22:42:35.540898-05
Test,Wiki,Flying Templates,2,292,25,0,12,1,1,2010-02-09 22:42:47.723619-05
Test,Wiki,Flying Templates,9,295,22,0,10,1,1,2010-02-09 22:42:56.604467-05
Test,Wiki,Flying Templates,12,261,22,0,10,1,1,2010-02-09 22:43:04.403644-05
Test,Wiki,Flying Templates,12,316,22,0,10,1,1,2010-02-09 22:43:05.558947-05
Test,Wiki,Flying Templates,12,252,22,0,10,1,1,2010-02-09 22:43:08.882506-05
Test,Wiki,Flying Templates,14,305,21,0,10,1,1,2010-02-09 22:43:16.679035-05
Test,Wiki,Flying Templates,15,364,24,0,10,1,1,2010-02-09 22:43:18.94883-05
Test,Wiki,Flying Templates,15,252,22,0,10,1,1,2010-02-09 22:43:20.034725-05
Test,Wiki,Flying Templates,16,317,25,0,16,1,1,2010-02-09 22:43:21.191812-05
Test,Wiki,Flying Templates,16,249,22,0,10,1,1,2010-02-09 22:43:22.280291-05
Test,Wiki,Flying Templates,19,253,28,0,10,1,1,2010-02-09 22:43:28.951233-05
Test,Wiki,Flying Templates,19,314,21,0,10,1,1,2010-02-09 22:43:30.111063-05
Test,Wiki,Flying Templates,19,265,25,0,10,1,1,2010-02-09 22:43:31.214497-05
Test,Wiki,Flying Templates,20,245,23,0,10,1,1,2010-02-09 22:43:33.456654-05
Test,Wiki,Flying Templates,11,278,21,0,11,1,1,2010-02-09 22:42:38.919005-05
Test,Wiki,Flying Templates,12,215,21,0,10,1,1,2010-02-09 22:42:39.962149-05
Test,Wiki,Flying Templates,13,286,22,0,10,1,1,2010-02-09 22:42:41.084438-05
Test,Wiki,Flying Templates,3,286,21,0,10,1,1,2010-02-09 22:42:48.86062-05
Test,Wiki,Flying Templates,12,246,22,0,10,1,1,2010-02-09 22:43:06.637635-05
Test,Wiki,Flying Templates,13,256,22,0,10,1,1,2010-02-09 22:43:11.092652-05
Test,Wiki,Flying Templates,14,259,22,0,10,1,1,2010-02-09 22:43:15.538568-05
Test,Wiki,Flying Templates,15,230,22,0,10,1,1,2010-02-09 22:43:17.746185-05
Test,Wiki,Flying Templates,2,233,23,0,10,1,1,2010-02-09 22:43:40.122115-05
Test,Wiki,Flying Templates,4,247,23,0,11,1,1,2010-02-09 22:43:51.24879-05
Test,Wiki,Flying Templates,6,266,22,0,10,1,1,2010-02-09 22:43:55.697585-05
Test,Wiki,Flying Templates,7,294,22,0,10,1,1,2010-02-09 22:43:56.841289-05
Test,Wiki,Flying Templates,8,285,23,0,10,1,1,2010-02-09 22:43:57.963547-05
Test,Wiki,Flying Templates,2,279,22,0,10,1,1,2010-02-09 22:44:06.951185-05
Test,Wiki,Flying Templates,4,253,23,0,10,1,1,2010-02-09 22:44:49.645576-05
Test,Wiki,Flying Templates,5,314,22,0,10,1,1,2010-02-09 22:44:55.33236-05
Test,Wiki,Flying Templates,6,251,23,0,11,1,1,2010-02-09 22:44:56.422703-05
Test,Wiki,Flying Templates,11,341,23,0,10,1,1,2010-02-09 22:45:06.643188-05
Test,Wiki,Flying Templates,11,242,23,0,10,1,1,2010-02-09 22:45:07.720104-05
Test,Wiki,Flying Templates,10,308,22,0,10,1,1,2010-02-09 22:42:58.827341-05
Test,Wiki,Flying Templates,11,301,22,0,11,1,1,2010-02-09 22:42:59.9614-05
Test,Wiki,Flying Templates,12,289,22,0,12,1,1,2010-02-09 22:43:03.305305-05
Test,Wiki,Flying Templates,12,285,21,0,10,1,1,2010-02-09 22:43:10.002513-05
Test,Wiki,Flying Templates,14,254,23,0,12,1,1,2010-02-09 22:43:13.305916-05
Test,Wiki,Flying Templates,14,318,21,0,10,1,1,2010-02-09 22:43:14.457418-05
Test,Wiki,Flying Templates,18,317,21,0,11,1,1,2010-02-09 22:43:27.869239-05
Test,Wiki,Flying Templates,19,314,22,0,10,1,1,2010-02-09 22:43:32.38021-05
Test,Wiki,Flying Templates,22,250,22,0,10,1,1,2010-02-09 22:43:35.688778-05
Test,Wiki,Flying Templates,1,251,27,0,10,1,1,2010-02-09 22:43:37.908286-05
Test,Wiki,Flying Templates,8,241,23,0,11,1,1,2010-02-09 22:44:00.164505-05
Test,Wiki,Flying Templates,8,239,22,0,10,1,1,2010-02-09 22:44:13.661146-05
Test,Wiki,Flying Templates,9,256,23,0,11,1,1,2010-02-09 22:44:18.173149-05
Test,Wiki,Flying Templates,9,315,23,0,10,1,1,2010-02-09 22:44:19.316255-05
Test,Wiki,Flying Templates,12,332,22,0,10,1,1,2010-02-09 22:44:23.815278-05
Test,Wiki,Flying Templates,12,287,23,0,10,1,1,2010-02-09 22:44:24.937183-05
Test,Wiki,Flying Templates,13,257,22,0,10,1,1,2010-02-09 22:44:27.180927-05
Test,Wiki,Flying Templates,13,298,23,0,10,1,1,2010-02-09 22:44:28.314029-05
Test,Wiki,Flying Templates,14,339,23,0,10,1,1,2010-02-09 22:44:30.60352-05
Test,Wiki,Flying Templates,11,246,22,0,11,1,1,2010-02-09 22:43:02.182534-05
Test,Wiki,Flying Templates,14,278,24,0,10,1,1,2010-02-09 22:43:12.215313-05
Test,Wiki,Flying Templates,16,292,22,0,9,1,1,2010-02-09 22:43:23.411015-05
Test,Wiki,Flying Templates,3,304,22,0,10,1,1,2010-02-09 22:43:43.509538-05
Test,Wiki,Flying Templates,3,242,23,0,10,1,1,2010-02-09 22:43:46.81013-05
Test,Wiki,Flying Templates,4,322,23,0,10,1,1,2010-02-09 22:43:47.965665-05
Test,Wiki,Flying Templates,4,232,22,0,10,1,1,2010-02-09 22:43:49.031391-05
Test,Wiki,Flying Templates,4,289,21,0,10,1,1,2010-02-09 22:43:50.1627-05
Test,Wiki,Flying Templates,8,293,24,0,10,1,1,2010-02-09 22:43:59.098348-05
Test,Wiki,Flying Templates,3,310,22,0,10,1,1,2010-02-09 22:44:08.09486-05
Test,Wiki,Flying Templates,4,262,30,0,11,1,1,2010-02-09 22:44:09.181565-05
Test,Wiki,Flying Templates,5,311,25,0,10,1,1,2010-02-09 22:44:10.329734-05
Test,Wiki,Flying Templates,6,259,23,0,11,1,1,2010-02-09 22:44:11.429263-05
Test,Wiki,Flying Templates,7,316,25,0,10,1,1,2010-02-09 22:44:12.596454-05
Test,Wiki,Flying Templates,8,312,22,0,10,1,1,2010-02-09 22:44:14.814938-05
Test,Wiki,Flying Templates,8,293,24,0,10,1,1,2010-02-09 22:44:15.94021-05
Test,Wiki,Flying Templates,10,306,22,0,10,1,1,2010-02-09 22:44:21.559379-05
Test,Wiki,Flying Templates,11,253,23,0,10,1,1,2010-02-09 22:44:22.649547-05
Test,Wiki,Flying Templates,12,320,22,0,10,1,1,2010-02-09 22:44:26.092928-05
Test,Wiki,Flying Templates,17,252,22,0,10,1,1,2010-02-09 22:43:24.489902-05
Test,Wiki,Flying Templates,17,302,23,0,10,1,1,2010-02-09 22:43:25.625152-05
Test,Wiki,Flying Templates,17,259,22,0,10,1,1,2010-02-09 22:43:26.712073-05
Test,Wiki,Flying Templates,2,305,22,0,10,1,1,2010-02-09 22:43:39.043355-05
Test,Wiki,Flying Templates,2,294,21,0,10,1,1,2010-02-09 22:43:41.264206-05
